Subject,Task,Method,RawPath,PreprocPath,RawLen,PreprocLen,Fs,RPPGSource
s45,T1,POS,dataset_numpy\s45\Landmark_s45_T1_POS_rppg.npy,artifacts\preprocessed\s45_T1_POS.npy,6324,11520,64,face_landmarker
s45,T1,LGI,dataset_numpy\s45\Landmark_s45_T1_LGI_rppg.npy,artifacts\preprocessed\s45_T1_LGI.npy,6324,11520,64,face_landmarker
s45,T1,OMIT,dataset_numpy\s45\Landmark_s45_T1_OMIT_rppg.npy,artifacts\preprocessed\s45_T1_OMIT.npy,6324,11520,64,face_landmarker
s45,T1,GREEN,dataset_numpy\s45\Landmark_s45_T1_GREEN_rppg.npy,artifacts\preprocessed\s45_T1_GREEN.npy,6324,11520,64,face_landmarker
s45,T1,CHROM,dataset_numpy\s45\Landmark_s45_T1_CHROM_rppg.npy,artifacts\preprocessed\s45_T1_CHROM.npy,6324,11520,64,face_landmarker
s45,T3,PPG,dataset_numpy\s45\bvp_s45_T3.csv,artifacts\preprocessed\s45_T3_PPG.npy,11520,11520,64,PPG
s45,T3,POS,dataset_numpy\s45\Landmark_s45_T3_POS_rppg.npy,artifacts\preprocessed\s45_T3_POS.npy,6325,11520,64,face_landmarker
s45,T3,LGI,dataset_numpy\s45\Landmark_s45_T3_LGI_rppg.npy,artifacts\preprocessed\s45_T3_LGI.npy,6325,11520,64,face_landmarker
s45,T3,OMIT,dataset_numpy\s45\Landmark_s45_T3_OMIT_rppg.npy,artifacts\preprocessed\s45_T3_OMIT.npy,6325,11520,64,face_landmarker
s45,T3,GREEN,dataset_numpy\s45\Landmark_s45_T3_GREEN_rppg.npy,artifacts\preprocessed\s45_T3_GREEN.npy,6325,11520,64,face_landmarker
s45,T3,CHROM,dataset_numpy\s45\Landmark_s45_T3_CHROM_rppg.npy,artifacts\preprocessed\s45_T3_CHROM.npy,6325,11520,64,face_landmarker
s46,T1,PPG,dataset_numpy\s46\bvp_s46_T1.csv,artifacts\preprocessed\s46_T1_PPG.npy,11520,11520,64,PPG
s46,T1,POS,dataset_numpy\s46\Landmark_s46_T1_POS_rppg.npy,artifacts\preprocessed\s46_T1_POS.npy,6325,11520,64,face_landmarker
s46,T1,LGI,dataset_numpy\s46\Landmark_s46_T1_LGI_rppg.npy,artifacts\preprocessed\s46_T1_LGI.npy,6325,11520,64,face_landmarker
s46,T1,OMIT,dataset_numpy\s46\Landmark_s46_T1_OMIT_rppg.npy,artifacts\preprocessed\s46_T1_OMIT.npy,6325,11520,64,face_landmarker
s46,T1,GREEN,dataset_numpy\s46\Landmark_s46_T1_GREEN_rppg.npy,artifacts\preprocessed\s46_T1_GREEN.npy,6325,11520,64,face_landmarker
s46,T1,CHROM,dataset_numpy\s46\Landmark_s46_T1_CHROM_rppg.npy,artifacts\preprocessed\s46_T1_CHROM.npy,6325,11520,64,face_landmarker
s46,T3,PPG,dataset_numpy\s46\bvp_s46_T3.csv,artifacts\preprocessed\s46_T3_PPG.npy,11520,11520,64,PPG
s46,T3,POS,dataset_numpy\s46\Landmark_s46_T3_POS_rppg.npy,artifacts\preprocessed\s46_T3_POS.npy,6325,11520,64,face_landmarker
s46,T3,LGI,dataset_numpy\s46\Landmark_s46_T3_LGI_rppg.npy,artifacts\preprocessed\s46_T3_LGI.npy,6325,11520,64,face_landmarker
s46,T3,OMIT,dataset_numpy\s46\Landmark_s46_T3_OMIT_rppg.npy,artifacts\preprocessed\s46_T3_OMIT.npy,6325,11520,64,face_landmarker
s46,T3,GREEN,dataset_numpy\s46\Landmark_s46_T3_GREEN_rppg.npy,artifacts\preprocessed\s46_T3_GREEN.npy,6325,11520,64,face_landmarker
s46,T3,CHROM,dataset_numpy\s46\Landmark_s46_T3_CHROM_rppg.npy,artifacts\preprocessed\s46_T3_CHROM.npy,6325,11520,64,face_landmarker
s47,T1,PPG,dataset_numpy\s47\bvp_s47_T1.csv,artifacts\preprocessed\s47_T1_PPG.npy,11520,11520,64,PPG
s47,T1,POS,dataset_numpy\s47\Landmark_s47_T1_POS_rppg.npy,artifacts\preprocessed\s47_T1_POS.npy,6307,11520,64,face_landmarker
s47,T1,LGI,dataset_numpy\s47\Landmark_s47_T1_LGI_rppg.npy,artifacts\preprocessed\s47_T1_LGI.npy,6307,11520,64,face_landmarker
s47,T1,OMIT,dataset_numpy\s47\Landmark_s47_T1_OMIT_rppg.npy,artifacts\preprocessed\s47_T1_OMIT.npy,6307,11520,64,face_landmarker
s47,T1,GREEN,dataset_numpy\s47\Landmark_s47_T1_GREEN_rppg.npy,artifacts\preprocessed\s47_T1_GREEN.npy,6307,11520,64,face_landmarker
s47,T1,CHROM,dataset_numpy\s47\Landmark_s47_T1_CHROM_rppg.npy,artifacts\preprocessed\s47_T1_CHROM.npy,6307,11520,64,face_landmarker
s47,T3,PPG,dataset_numpy\s47\bvp_s47_T3.csv,artifacts\preprocessed\s47_T3_PPG.npy,11520,11520,64,PPG
s47,T3,POS,dataset_numpy\s47\Landmark_s47_T3_POS_rppg.npy,artifacts\preprocessed\s47_T3_POS.npy,5990,11520,64,face_landmarker
s47,T3,LGI,dataset_numpy\s47\Landmark_s47_T3_LGI_rppg.npy,artifacts\preprocessed\s47_T3_LGI.npy,5990,11520,64,face_landmarker
s47,T3,OMIT,dataset_numpy\s47\Landmark_s47_T3_OMIT_rppg.npy,artifacts\preprocessed\s47_T3_OMIT.npy,5990,11520,64,face_landmarker
s47,T3,GREEN,dataset_numpy\s47\Landmark_s47_T3_GREEN_rppg.npy,artifacts\preprocessed\s47_T3_GREEN.npy,5990,11520,64,face_landmarker
s47,T3,CHROM,dataset_numpy\s47\Landmark_s47_T3_CHROM_rppg.npy,artifacts\preprocessed\s47_T3_CHROM.npy,5990,11520,64,face_landmarker
s48,T1,PPG,dataset_numpy\s48\bvp_s48_T1.csv,artifacts\preprocessed\s48_T1_PPG.npy,11520,11520,64,PPG
s48,T1,POS,dataset_numpy\s48\Landmark_s48_T1_POS_rppg.npy,artifacts\preprocessed\s48_T1_POS.npy,6325,11520,64,face_landmarker
s48,T1,LGI,dataset_numpy\s48\Landmark_s48_T1_LGI_rppg.npy,artifacts\preprocessed\s48_T1_LGI.npy,6325,11520,64,face_landmarker
s48,T1,OMIT,dataset_numpy\s48\Landmark_s48_T1_OMIT_rppg.npy,artifacts\preprocessed\s48_T1_OMIT.npy,6325,11520,64,face_landmarker
s48,T1,GREEN,dataset_numpy\s48\Landmark_s48_T1_GREEN_rppg.npy,artifacts\preprocessed\s48_T1_GREEN.npy,6325,11520,64,face_landmarker
s48,T1,CHROM,dataset_numpy\s48\Landmark_s48_T1_CHROM_rppg.npy,artifacts\preprocessed\s48_T1_CHROM.npy,6325,11520,64,face_landmarker
s48,T3,PPG,dataset_numpy\s48\bvp_s48_T3.csv,artifacts\preprocessed\s48_T3_PPG.npy,11520,11520,64,PPG
s48,T3,POS,dataset_numpy\s48\Landmark_s48_T3_POS_rppg.npy,artifacts\preprocessed\s48_T3_POS.npy,6305,11520,64,face_landmarker
s48,T3,LGI,dataset_numpy\s48\Landmark_s48_T3_LGI_rppg.npy,artifacts\preprocessed\s48_T3_LGI.npy,6305,11520,64,face_landmarker
s48,T3,OMIT,dataset_numpy\s48\Landmark_s48_T3_OMIT_rppg.npy,artifacts\preprocessed\s48_T3_OMIT.npy,6305,11520,64,face_landmarker
s48,T3,GREEN,dataset_numpy\s48\Landmark_s48_T3_GREEN_rppg.npy,artifacts\preprocessed\s48_T3_GREEN.npy,6305,11520,64,face_landmarker
s48,T3,CHROM,dataset_numpy\s48\Landmark_s48_T3_CHROM_rppg.npy,artifacts\preprocessed\s48_T3_CHROM.npy,6305,11520,64,face_landmarker
s49,T1,PPG,dataset_numpy\s49\bvp_s49_T1.csv,artifacts\preprocessed\s49_T1_PPG.npy,11520,11520,64,PPG
s49,T1,POS,dataset_numpy\s49\Landmark_s49_T1_POS_rppg.npy,artifacts\preprocessed\s49_T1_POS.npy,6325,11520,64,face_landmarker
s49,T1,LGI,dataset_numpy\s49\Landmark_s49_T1_LGI_rppg.npy,artifacts\preprocessed\s49_T1_LGI.npy,6325,11520,64,face_landmarker
s49,T1,OMIT,dataset_numpy\s49\Landmark_s49_T1_OMIT_rppg.npy,artifacts\preprocessed\s49_T1_OMIT.npy,6325,11520,64,face_landmarker
s49,T1,GREEN,dataset_numpy\s49\Landmark_s49_T1_GREEN_rppg.npy,artifacts\preprocessed\s49_T1_GREEN.npy,6325,11520,64,face_landmarker
s49,T1,CHROM,dataset_numpy\s49\Landmark_s49_T1_CHROM_rppg.npy,artifacts\preprocessed\s49_T1_CHROM.npy,6325,11520,64,face_landmarker
s49,T3,PPG,dataset_numpy\s49\bvp_s49_T3.csv,artifacts\preprocessed\s49_T3_PPG.npy,11520,11520,64,PPG
s49,T3,POS,dataset_numpy\s49\Landmark_s49_T3_POS_rppg.npy,artifacts\preprocessed\s49_T3_POS.npy,6299,11520,64,face_landmarker
s49,T3,LGI,dataset_numpy\s49\Landmark_s49_T3_LGI_rppg.npy,artifacts\preprocessed\s49_T3_LGI.npy,6299,11520,64,face_landmarker
s49,T3,OMIT,dataset_numpy\s49\Landmark_s49_T3_OMIT_rppg.npy,artifacts\preprocessed\s49_T3_OMIT.npy,6299,11520,64,face_landmarker
s49,T3,GREEN,dataset_numpy\s49\Landmark_s49_T3_GREEN_rppg.npy,artifacts\preprocessed\s49_T3_GREEN.npy,6299,11520,64,face_landmarker
s49,T3,CHROM,dataset_numpy\s49\Landmark_s49_T3_CHROM_rppg.npy,artifacts\preprocessed\s49_T3_CHROM.npy,6299,11520,64,face_landmarker
s50,T1,PPG,dataset_numpy\s50\bvp_s50_T1.csv,artifacts\preprocessed\s50_T1_PPG.npy,11520,11520,64,PPG
s50,T1,POS,dataset_numpy\s50\Landmark_s50_T1_POS_rppg.npy,artifacts\preprocessed\s50_T1_POS.npy,6325,11520,64,face_landmarker
s50,T1,LGI,dataset_numpy\s50\Landmark_s50_T1_LGI_rppg.npy,artifacts\preprocessed\s50_T1_LGI.npy,6325,11520,64,face_landmarker
s50,T1,OMIT,dataset_numpy\s50\Landmark_s50_T1_OMIT_rppg.npy,artifacts\preprocessed\s50_T1_OMIT.npy,6325,11520,64,face_landmarker
s50,T1,GREEN,dataset_numpy\s50\Landmark_s50_T1_GREEN_rppg.npy,artifacts\preprocessed\s50_T1_GREEN.npy,6325,11520,64,face_landmarker
s50,T1,CHROM,dataset_numpy\s50\Landmark_s50_T1_CHROM_rppg.npy,artifacts\preprocessed\s50_T1_CHROM.npy,6325,11520,64,face_landmarker
s50,T3,PPG,dataset_numpy\s50\bvp_s50_T3.csv,artifacts\preprocessed\s50_T3_PPG.npy,11520,11520,64,PPG
s50,T3,POS,dataset_numpy\s50\Landmark_s50_T3_POS_rppg.npy,artifacts\preprocessed\s50_T3_POS.npy,6325,11520,64,face_landmarker
s50,T3,LGI,dataset_numpy\s50\Landmark_s50_T3_LGI_rppg.npy,artifacts\preprocessed\s50_T3_LGI.npy,6325,11520,64,face_landmarker
s50,T3,OMIT,dataset_numpy\s50\Landmark_s50_T3_OMIT_rppg.npy,artifacts\preprocessed\s50_T3_OMIT.npy,6325,11520,64,face_landmarker
s50,T3,GREEN,dataset_numpy\s50\Landmark_s50_T3_GREEN_rppg.npy,artifacts\preprocessed\s50_T3_GREEN.npy,6325,11520,64,face_landmarker
s50,T3,CHROM,dataset_numpy\s50\Landmark_s50_T3_CHROM_rppg.npy,artifacts\preprocessed\s50_T3_CHROM.npy,6325,11520,64,face_landmarker
s51,T1,PPG,dataset_numpy\s51\bvp_s51_T1.csv,artifacts\preprocessed\s51_T1_PPG.npy,11520,11520,64,PPG
s51,T1,POS,dataset_numpy\s51\Landmark_s51_T1_POS_rppg.npy,artifacts\preprocessed\s51_T1_POS.npy,6325,11520,64,face_landmarker
s51,T1,LGI,dataset_numpy\s51\Landmark_s51_T1_LGI_rppg.npy,artifacts\preprocessed\s51_T1_LGI.npy,6325,11520,64,face_landmarker
s51,T1,OMIT,dataset_numpy\s51\Landmark_s51_T1_OMIT_rppg.npy,artifacts\preprocessed\s51_T1_OMIT.npy,6325,11520,64,face_landmarker
s51,T1,GREEN,dataset_numpy\s51\Landmark_s51_T1_GREEN_rppg.npy,artifacts\preprocessed\s51_T1_GREEN.npy,6325,11520,64,face_landmarker
s51,T1,CHROM,dataset_numpy\s51\Landmark_s51_T1_CHROM_rppg.npy,artifacts\preprocessed\s51_T1_CHROM.npy,6325,11520,64,face_landmarker
s51,T3,PPG,dataset_numpy\s51\bvp_s51_T3.csv,artifacts\preprocessed\s51_T3_PPG.npy,11520,11520,64,PPG
s51,T3,POS,dataset_numpy\s51\Landmark_s51_T3_POS_rppg.npy,artifacts\preprocessed\s51_T3_POS.npy,6325,11520,64,face_landmarker
s51,T3,LGI,dataset_numpy\s51\Landmark_s51_T3_LGI_rppg.npy,artifacts\preprocessed\s51_T3_LGI.npy,6325,11520,64,face_landmarker
s51,T3,OMIT,dataset_numpy\s51\Landmark_s51_T3_OMIT_rppg.npy,artifacts\preprocessed\s51_T3_OMIT.npy,6325,11520,64,face_landmarker
s51,T3,GREEN,dataset_numpy\s51\Landmark_s51_T3_GREEN_rppg.npy,artifacts\preprocessed\s51_T3_GREEN.npy,6325,11520,64,face_landmarker
s51,T3,CHROM,dataset_numpy\s51\Landmark_s51_T3_CHROM_rppg.npy,artifacts\preprocessed\s51_T3_CHROM.npy,6325,11520,64,face_landmarker
s52,T1,PPG,dataset_numpy\s52\bvp_s52_T1.csv,artifacts\preprocessed\s52_T1_PPG.npy,11520,11520,64,PPG
s52,T1,POS,dataset_numpy\s52\Landmark_s52_T1_POS_rppg.npy,artifacts\preprocessed\s52_T1_POS.npy,6325,11520,64,face_landmarker
s52,T1,LGI,dataset_numpy\s52\Landmark_s52_T1_LGI_rppg.npy,artifacts\preprocessed\s52_T1_LGI.npy,6325,11520,64,face_landmarker
s52,T1,OMIT,dataset_numpy\s52\Landmark_s52_T1_OMIT_rppg.npy,artifacts\preprocessed\s52_T1_OMIT.npy,6325,11520,64,face_landmarker
s52,T1,GREEN,dataset_numpy\s52\Landmark_s52_T1_GREEN_rppg.npy,artifacts\preprocessed\s52_T1_GREEN.npy,6325,11520,64,face_landmarker
s52,T1,CHROM,dataset_numpy\s52\Landmark_s52_T1_CHROM_rppg.npy,artifacts\preprocessed\s52_T1_CHROM.npy,6325,11520,64,face_landmarker
s52,T3,PPG,dataset_numpy\s52\bvp_s52_T3.csv,artifacts\preprocessed\s52_T3_PPG.npy,11520,11520,64,PPG
s52,T3,POS,dataset_numpy\s52\Landmark_s52_T3_POS_rppg.npy,artifacts\preprocessed\s52_T3_POS.npy,6325,11520,64,face_landmarker
s52,T3,LGI,dataset_numpy\s52\Landmark_s52_T3_LGI_rppg.npy,artifacts\preprocessed\s52_T3_LGI.npy,6325,11520,64,face_landmarker
s52,T3,OMIT,dataset_numpy\s52\Landmark_s52_T3_OMIT_rppg.npy,artifacts\preprocessed\s52_T3_OMIT.npy,6325,11520,64,face_landmarker
s52,T3,GREEN,dataset_numpy\s52\Landmark_s52_T3_GREEN_rppg.npy,artifacts\preprocessed\s52_T3_GREEN.npy,6325,11520,64,face_landmarker
s52,T3,CHROM,dataset_numpy\s52\Landmark_s52_T3_CHROM_rppg.npy,artifacts\preprocessed\s52_T3_CHROM.npy,6325,11520,64,face_landmarker
s53,T1,PPG,dataset_numpy\s53\bvp_s53_T1.csv,artifacts\preprocessed\s53_T1_PPG.npy,11520,11520,64,PPG
s53,T1,POS,dataset_numpy\s53\Landmark_s53_T1_POS_rppg.npy,artifacts\preprocessed\s53_T1_POS.npy,6325,11520,64,face_landmarker
s53,T1,LGI,dataset_numpy\s53\Landmark_s53_T1_LGI_rppg.npy,artifacts\preprocessed\s53_T1_LGI.npy,6325,11520,64,face_landmarker
s53,T1,OMIT,dataset_numpy\s53\Landmark_s53_T1_OMIT_rppg.npy,artifacts\preprocessed\s53_T1_OMIT.npy,6325,11520,64,face_landmarker
s53,T1,GREEN,dataset_numpy\s53\Landmark_s53_T1_GREEN_rppg.npy,artifacts\preprocessed\s53_T1_GREEN.npy,6325,11520,64,face_landmarker
s53,T1,CHROM,dataset_numpy\s53\Landmark_s53_T1_CHROM_rppg.npy,artifacts\preprocessed\s53_T1_CHROM.npy,6325,11520,64,face_landmarker
s53,T3,PPG,dataset_numpy\s53\bvp_s53_T3.csv,artifacts\preprocessed\s53_T3_PPG.npy,11520,11520,64,PPG
s53,T3,POS,dataset_numpy\s53\Landmark_s53_T3_POS_rppg.npy,artifacts\preprocessed\s53_T3_POS.npy,6325,11520,64,face_landmarker
s53,T3,LGI,dataset_numpy\s53\Landmark_s53_T3_LGI_rppg.npy,artifacts\preprocessed\s53_T3_LGI.npy,6325,11520,64,face_landmarker
s53,T3,OMIT,dataset_numpy\s53\Landmark_s53_T3_OMIT_rppg.npy,artifacts\preprocessed\s53_T3_OMIT.npy,6325,11520,64,face_landmarker
s53,T3,GREEN,dataset_numpy\s53\Landmark_s53_T3_GREEN_rppg.npy,artifacts\preprocessed\s53_T3_GREEN.npy,6325,11520,64,face_landmarker
s53,T3,CHROM,dataset_numpy\s53\Landmark_s53_T3_CHROM_rppg.npy,artifacts\preprocessed\s53_T3_CHROM.npy,6325,11520,64,face_landmarker
s54,T1,PPG,dataset_numpy\s54\bvp_s54_T1.csv,artifacts\preprocessed\s54_T1_PPG.npy,11520,11520,64,PPG
s54,T1,POS,dataset_numpy\s54\Landmark_s54_T1_POS_rppg.npy,artifacts\preprocessed\s54_T1_POS.npy,6325,11520,64,face_landmarker
s54,T1,LGI,dataset_numpy\s54\Landmark_s54_T1_LGI_rppg.npy,artifacts\preprocessed\s54_T1_LGI.npy,6325,11520,64,face_landmarker
s54,T1,OMIT,dataset_numpy\s54\Landmark_s54_T1_OMIT_rppg.npy,artifacts\preprocessed\s54_T1_OMIT.npy,6325,11520,64,face_landmarker
s54,T1,GREEN,dataset_numpy\s54\Landmark_s54_T1_GREEN_rppg.npy,artifacts\preprocessed\s54_T1_GREEN.npy,6325,11520,64,face_landmarker
s54,T1,CHROM,dataset_numpy\s54\Landmark_s54_T1_CHROM_rppg.npy,artifacts\preprocessed\s54_T1_CHROM.npy,6325,11520,64,face_landmarker
s54,T3,PPG,dataset_numpy\s54\bvp_s54_T3.csv,artifacts\preprocessed\s54_T3_PPG.npy,11520,11520,64,PPG
s54,T3,POS,dataset_numpy\s54\Landmark_s54_T3_POS_rppg.npy,artifacts\preprocessed\s54_T3_POS.npy,6325,11520,64,face_landmarker
s54,T3,LGI,dataset_numpy\s54\Landmark_s54_T3_LGI_rppg.npy,artifacts\preprocessed\s54_T3_LGI.npy,6325,11520,64,face_landmarker
s54,T3,OMIT,dataset_numpy\s54\Landmark_s54_T3_OMIT_rppg.npy,artifacts\preprocessed\s54_T3_OMIT.npy,6325,11520,64,face_landmarker
s54,T3,GREEN,dataset_numpy\s54\Landmark_s54_T3_GREEN_rppg.npy,artifacts\preprocessed\s54_T3_GREEN.npy,6325,11520,64,face_landmarker
s54,T3,CHROM,dataset_numpy\s54\Landmark_s54_T3_CHROM_rppg.npy,artifacts\preprocessed\s54_T3_CHROM.npy,6325,11520,64,face_landmarker
s55,T1,PPG,dataset_numpy\s55\bvp_s55_T1.csv,artifacts\preprocessed\s55_T1_PPG.npy,11520,11520,64,PPG
s55,T1,POS,dataset_numpy\s55\Landmark_s55_T1_POS_rppg.npy,artifacts\preprocessed\s55_T1_POS.npy,6262,11520,64,face_landmarker
s55,T1,LGI,dataset_numpy\s55\Landmark_s55_T1_LGI_rppg.npy,artifacts\preprocessed\s55_T1_LGI.npy,6262,11520,64,face_landmarker
